X,Region,Country,Code,Sex,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,South Asia,Afghanistan,AFG,Female,2.19, , , ,3.33, ,10.11, , ,14.03, , ,16.77
2,South Asia,Afghanistan,AFG,Male,2.65, , , ,1.36, ,7.2, , ,10.37, , ,10.45
27,Europe & Central Asia,Albania,ALB,Female,13.72,15.64,15.84,13.75,11.49,13.44,15.52,17.12,14.47,12.5,11.88,11.32, 
28,Europe & Central Asia,Albania,ALB,Male,12.52,12.14,12.73,13.27,14.81,17.76,19.91,17.25,16.14,14.44,12.63,11.58, 
53,Middle East & North Africa,Algeria,DZA,Female, ,18.1,19.1, ,16.99,16.3,15.58,16.57,18.25,26.23, , , 
54,Middle East & North Africa,Algeria,DZA,Male, ,8.57,8.11, ,9.56,8.3,8.96,9.92,8.18,10.77, , , 
79,East Asia & Pacific,American Samoa,ASM,Female, , , , , , , , , , , , , 
80,East Asia & Pacific,American Samoa,ASM,Male, , , , , , , , , , , , , 
105,Europe & Central Asia,Andorra,AND,Female, , , , , , , , , , , , , 
106,Europe & Central Asia,Andorra,AND,Male, , , , , , , , , , , , , 
131,Sub-Saharan Africa,Angola,AGO,Female, ,2.82,10.87,7.71, , ,9.1, , , , , , 
132,Sub-Saharan Africa,Angola,AGO,Male, ,4.67,7.91,7, , ,9.96, , , , , , 
157,Latin America & Caribbean,Antigua and Barbuda,ATG,Female, , , , , , , , , , , , , 
158,Latin America & Caribbean,Antigua and Barbuda,ATG,Male, , , , , , , , , , , , , 
183,Latin America & Caribbean,Argentina,ARG,Female,9.68,9.83,9.17,8.49,8.79,8.46,8.36, , ,9.45,10.51,10.69,12.35999966
184,Latin America & Caribbean,Argentina,ARG,Male,6.47,7.76,6.65,6.24,6.06,6.1,6.47, , ,7.51,8.2,9.18,10.75
209,Europe & Central Asia,Armenia,ARM,Female,25.86,19.67,21.23,19.61,18.15,18.07,19.38,19.23,17.49,17.48,20.43,19.31, 
210,Europe & Central Asia,Armenia,ARM,Male,20.47,17.34,17.04,17.33,16.49,14.37,15.68,17.36,17.73,17.91,17.85,17.5, 
235,Latin America & Caribbean,Aruba,ABW,Female, , ,10.43,7.8, , , , , , , , , 
236,Latin America & Caribbean,Aruba,ABW,Male, , ,10.77,8.6, , , , , , , , , 
261,East Asia & Pacific,Australia,AUS,Female,4.57,5.4,5.38,5.3,5.33,5.61,6.17,6.07,5.78,5.67,5.32,5.1,6.35
262,East Asia & Pacific,Australia,AUS,Male,3.96,5.69,5.07,4.89,5.14,5.71,6,6.04,5.65,5.52,5.28,5.21,6.55
287,Europe & Central Asia,Austria,AUT,Female,4.41,5.09,4.63,4.58,4.79,5.29,5.38,5.31,5.54,5.03,4.65,4.35,5.23
288,Europe & Central Asia,Austria,AUT,Male,3.89,5.49,4.98,4.55,4.93,5.37,5.83,6.09,6.43,5.91,5.02,4.61,5.48
313,Europe & Central Asia,Azerbaijan,AZE,Female,5.54,6.58,6.91,6.45,6.09,5.95,5.84,5.87,6,5.9,5.8,5.71, 
